Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,1.01009,0.00029,0.0436,-0.3995,0.0001,0.000076,0.023,33.343,1,0,AUD/CAD
AUD/CHF,0.7758,0.00035,0.21,-0.8474,0.0001,0.000099,0.023,33.348,1,0,AUD/CHF
AUD/HKD,5.9554,0.00179,0.1642,-0.4517,0.0001,0.000013,0.0384,20.006,1,0,AUD/HKD
AUD/JPY,86.88,0.021,0.2095,-0.4415,0.01,0.000088,0.0307,25.006,1,0,AUD/JPY
AUD/NZD,1.0673,0.00035,-0.316,-0.2299,0.0001,0.000072,0.023,33.344,1,0,AUD/NZD
AUD/SGD,1.0864,0.00053,-0.0269,-0.5136,0.0001,0.000071,0.0384,20.01,1,0,AUD/SGD
AUD/USD,0.76738,0.00019,0.0321,-0.3726,0.0001,0.0001,0.023,33.342,1,0,AUD/USD
CAD/CHF,0.7681,0.00029,0.0416,-0.5727,0.0001,0.000099,0.0228,33.346,1,0,CAD/CHF
CAD/HKD,5.8963,0.00129,-0.0043,-0.177,0.0001,0.000013,0.038,20.004,1,0,CAD/HKD
CAD/JPY,86.025,0.023,0.041,-0.1668,0.01,0.000088,0.0304,25.007,1,0,CAD/JPY
CAD/SGD,1.07561,0.00043,-0.1954,-0.2389,0.0001,0.000071,0.038,20.008,1,0,CAD/SGD
CHF/HKD,7.6781,0.00192,-0.4521,-0.0106,0.0001,0.000013,0.0495,20.005,1,0,CHF/HKD
CHF/JPY,112.017,0.029,-0.4069,-0.0004,0.01,0.000088,0.0396,25.007,1,0,CHF/JPY
CHF/ZAR,12.8904,0.02238,-0.5626,0.1315,0.0001,0.000008,0.0495,20.035,1,0,CHF/ZAR
EUR/AUD,1.37536,0.00029,-0.4411,0.0945,0.0001,0.000077,0.0317,33.34,1,0,EUR/AUD
EUR/CAD,1.3891,0.00038,-0.1664,-0.0739,0.0001,0.000076,0.0211,50.014,1,0,EUR/CAD
EUR/CHF,1.06674,0.00022,0,-0.5219,0.0001,0.000099,0.0317,33.34,1,0,EUR/CHF
EUR/CZK,27.04,0.03696,-0.015,-0.1177,0.0001,0.000004,0.0528,20.027,1,0,EUR/CZK
EUR/DKK,7.434,0.00103,-0.049,-0.1288,0.0001,0.000014,0.0211,50.007,1,0,EUR/DKK
EUR/GBP,0.84843,0.00019,-0.1532,-0.0985,0.0001,0.000124,0.0528,20.005,1,0,EUR/GBP
EUR/HKD,8.1891,0.00144,-0.0459,-0.1261,0.0001,0.000013,0.0528,20.004,1,0,EUR/HKD
EUR/HUF,308.15,0.341,-0.0024,-0.1151,0.01,0.000034,0.0528,20.022,1,0,EUR/HUF
EUR/JPY,119.472,0.017,-0.0006,-0.1159,0.01,0.000088,0.0422,25.004,1,0,EUR/JPY
EUR/NOK,8.8361,0.0069,-0.0605,-0.1074,0.0001,0.000012,0.0317,33.359,1,0,EUR/NOK
EUR/NZD,1.46777,0.00051,-0.526,0.0956,0.0001,0.000072,0.0316,33.345,1,0,EUR/NZD
EUR/PLN,4.3018,0.00625,-0.1547,-0.0685,0.0001,0.000025,0.0528,20.029,1,0,EUR/PLN
EUR/SEK,9.4775,0.00877,-0.0305,-0.1339,0.0001,0.000011,0.0317,33.364,1,0,EUR/SEK
EUR/SGD,1.49386,0.00053,-0.237,-0.1881,0.0001,0.000071,0.0528,20.007,1,0,EUR/SGD
